germanic_pagan;West Germanic;;;;;;;x
germanic_pagan_reformed;Wodanic;;;;;;;x
germanic_pagan_DESC;The ancient West Germanic belief system is a group of related cults and beliefs held by the West Germanic tribes. A pantheon of gods under the wise warrior god Wodan rules all the branches of the worldtree, Yggdrasil. The other two main gods are Thunor, friend to mankind, and Yngvi, god of fertility.;;;;;;;;;;;x
germanic_pagan_reformed_DESC;The Reformed Wodenic belief system is a group of canonized cults and beliefs held by the West Germanic tribes. A pantheon of gods under the wise warrior god Wodan rules all the branches of the worldtree, Yggdrasil. The other two main gods are Thunor, friend to mankind, and Yngvi, god of fertility. The church has a standardized liturgy and a formal church hierarchy led by the Begíemend, who is both a secular ruler and the religious leader of the faithful.;;;;;;;;;;;x
east_germanic_pagan;East Germanic;;;;;;;x
east_germanic_pagan_reformed;Gaptic;;;;;;;x
east_germanic_pagan_DESC;The East Germanic faith is that of the Goths and the other East Germanic peoples. The many far migrations of these tribes have given journeying and travelling a mystical importance, and the cultures along the way have also greatly shaped the faith. The main god Gapt, founding deity of the Gothic peoples, is accompanied in godhood by Teiws, the honourable god of war, and Frauja and Fráujo, the dual twin gods of fertility and nature. Apart from the many spirits, who inhabit rivers, forests, and fields, there are also some other important gods, such as Engus, Fairguneis, and the god of the Danube river Donaws.;;;;;;;;;;;x
east_germanic_pagan_reformed_DESC;The Gaptic faith a collection of canonized beliefs of the Goths and the other East Germanic peoples. The many far migrations of these tribes have given journeying and travelling a mystical importance, and the cultures along the way have also greatly shaped the faith. As such, they have many wide-ranging and different rituals and religious customs. The main god Gapt, founding deity of the Gothic peoples, is accompanied in godhood by Teiws, the honourable god of war, and Frauja and Fráujo, the dual twin gods of fertility and nature. Apart from the many spirits, who inhabit rivers, forests, and fields, there are also some other important gods, such as Engus, Fairguneis, and the god of the Danube river Donaws. The church has a standardized liturgy and a formal church hierarchy led by the Farafrauja, who is both a secular ruler and the religious leader of the faithful.;;;;;;;;;;;x
norse_pagan;Nordic;;;;;;;x
norse_pagan_reformed;Asatru;;;;;;;x
norse_pagan_DESC;The Norse faith is a collection of beliefs and practices peculiar to the far north, almost parallel to the Germanic faith yet tempered by the harsh realities of life in distant Scandinavia. It is believed that there are two major godly families. The royal gods, the Æsir, are said to live in the palace of Ásgarðr on top of the world tree Yggdrasil, and they are led by the one-eyed god Óðinn, god of wisdom, his son Þórr, the Thunderer, and the one-armed Týr, the god of war. The other family, the Vanir, are gods of nature, and reside all over the world. Most trees, groves, and pools are said to hold Vanr spirits. This family's most prominent members are Njörðr, god of the sea, and his son and daughter Freyr and Freyja, dual gods of fertility.;;;;;;;;;;;x;;;;;;;;;;;x
norse_pagan_reformed_DESC;The Asatru faith is a collection of canonized beliefs and practices peculiar to the far north, almost parallel to other Germanic faiths yet tempered by the harsh realities of life in distant Scandinavia. It is believed that there are two major godly families. The royal gods, the Æsir, are said to live in the palace of Ásgarðr on top of the world tree Yggdrasil, and they are led by the one-eyed god Óðinn, god of wisdom, his son Þórr, the Thunderer, and the one-armed Týr, the god of war. The other family, the Vanir, are gods of nature, and reside all over the world. Most trees, groves, and pools are said to hold Vanr spirits. This family's most prominent members are Njörðr, god of the sea, and his son and daughter Freyr and Freyja, dual gods of fertility. The faith has a Holy Book written in runes with chapters on Creation, the Gods, Ragnaroc, and secret spells - 'galdrs'. The church has a standardized liturgy and a formal church hierarchy led by the Fylkir, who - much like an Islamic Caliph - is both a secular ruler and the religious leader of the faithful.;;;;;;;;;;;x;;;;;;;;;;;x


#West Germanic
GOD_WODAN;Wodan;;;;;;;;;;;x
GOD_THUNOR;Þunor;;;;;;;;;;;x
GOD_TIW;Tiw;;;;;;;;;;;x
GOD_ERCE;Erce;;;;;;;;;;;x
GOD_FREO;Freo;;;;;;;;;;;x
GOD_FREA;Frea;;;;;;;;;;;x
GOD_BAELDAEG;Bældæg;;;;;;;;;;;x
GOD_FRIGE;Frige;;;;;;;;;;;x
GOD_SEAXNEAT;Seaxneat;;;;;;;;;;;x
GOD_INGWINE;Ingwine;;;;;;;;;;;x
GOD_LOGNA;Logna;;;;;;;;;;;x

#East Germanic
GOD_GAPT;Gapt;;;;;;;;;;;x
GOD_TEIWS;Teiws;;;;;;;;;;;x
GOD_FAIRGUNEIS;Fairguneis;;;;;;;;;;;x
GOD_FRAUJO;Fráujo;;;;;;;;;;;x 
GOD_FRAUJA;Frauja;;;;;;;;;;;x
GOD_ENGUZ;Engus;;;;;;;;;;;x
GOD_DONAWS;Donaws;;;;;;;;;;;x
GOD_HALJA;Halja;;;;;;;;;;;x
